participantid,extraversionbig5,agreeable,neuroticismbig5,conscientiousnessbig5,opennessbig5,education,assignedallowancelevel,income,stdactions,z_stdactionsP,Flexibility_calculated_ivw,z_Flexibility_calculated_ivw,anchored_flexibility,z_anchored_flexibility,min_Flexibility_combined,max_Flexibility_combined,Flexibility_combined15,choice1_flex_deterministic,choice2_flex_deterministic,choice3_flex_deterministic,choice4_flex_deterministic,choice5_flex_deterministic
716,4.7,3.25,1.6,4.9,4.4,2,3,22518.84512,1.388730168,0.2997145951,0.2050762922,1.873764038,1.48025167,1.85078156,-2.97091794,3.623504877,4,4,3,1,5,
717,4.4,4.05,3,3.4,4.3,2,4,38900.56638,1.457737923,0.4019052684,0.05375735462,0.4911762178,0.4688584805,0.5862209797,-2.97091794,3.623504877,3,3,1,5,,
718,4.7,3.433333333,1.8,4.7,4.9,2,1,10066.42213,1.195228577,0.01316624507,0.2238229066,2.045050144,1.537079215,1.921833873,-2.97091794,3.623504877,4,4,3,1,5,
719,3.9,4.1,2.6,3.8,4.7,2,1,12279.63589,1.035098314,-0.2239639014,0.1312150359,1.198900223,0.8431841731,1.054246187,-2.97091794,3.623504877,4,4,3,1,5,
720,2.5,3.95,2.7,3.4,4.3,2,1,13078.37771,0.8345229626,-0.5209875107,0.007719136309,0.07052906603,-0.07735008001,-0.09671200067,-2.97091794,3.623504877,3,3,1,5,,
722,2.9,3.133333333,4.7,3,4.9,2,3,24596.22532,0.7071067691,-0.709672749,-0.2189158648,-2.000214815,-1.677579284,-2.097503185,-2.97091794,3.623504877,1,5,,,,
723,3.7,3.783333333,2.1,3.7,3.7,2,1,13878.74931,1.388730168,0.2997145951,0.05785219744,0.5285904408,0.4713714719,0.5893630385,-2.97091794,3.623504877,3,3,1,5,,
724,3.3,3.766666667,4.5,4.3,4.4,2,3,24298.28035,0.7071067691,-0.709672749,-0.03636018932,-0.3322198391,-0.4265830517,-0.5333634019,-2.97091794,3.623504877,2,1,5,,,
725,3.6,3.45,2.6,4,4.4,2,5,68103.3677,1.060660124,-0.1861104965,0.04658554867,0.4256480336,0.272708416,0.3409715295,-2.97091794,3.623504877,3,3,1,5,,
726,3.2,3.116666667,1.9,3,2.5,2,3,21080.36798,0,-1.756797314,-0.1498175263,-1.368869543,-1.465851545,-1.832776785,-2.97091794,3.623504877,1,5,,,,
727,4.1,3.716666667,3.8,3.6,4.3,2,3,24229.26164,1.281739831,0.1412771195,-0.03420834988,-0.3125586808,-0.1990997344,-0.2489374727,-2.97091794,3.623504877,3,3,1,5,,
729,3.8,3.333333333,2.5,3.5,3.6,2,1,12974.27414,1.72688818,0.800478518,-0.04329741374,-0.3956046402,-0.09658385068,-0.1207602844,-2.97091794,3.623504877,3,3,1,5,,
730,2.8,3.783333333,2.9,3.2,4.3,2,3,21266.55266,0,-1.756797314,-0.03440062329,-0.3143154681,-0.6749359369,-0.8438827991,-2.97091794,3.623504877,2,1,5,,,
732,3.1,3.5,2.8,3.9,2.9,2,1,10227.70067,1.772810578,0.8684830666,-0.07237166166,-0.6612535119,-0.2788193822,-0.3486121893,-2.97091794,3.623504877,2,1,5,,,
733,3.2,3.233333333,4.4,3.6,4.1,2,1,10725.49007,0.5175491571,-0.9903806448,-0.1717062593,-1.568864942,-1.424243927,-1.780754209,-2.97091794,3.623504877,1,5,,,,
734,3.9,4.3,2,4.3,4.8,2,1,12291.85488,0.5,-1.016368389,0.2464266568,2.251578569,1.43459177,1.793692231,-2.97091794,3.623504877,4,4,3,1,5,
736,2.4,3.6,2.1,2.9,3.5,2,1,12170.42118,1.908627033,1.069607973,-0.08215729147,-0.7506639361,-0.2955959439,-0.3695881665,-2.97091794,3.623504877,2,1,5,,,
738,3.4,3.883333333,3.6,4.3,4.2,2,1,10719.02932,1.246423483,0.08897862583,0.03330295533,0.3042861521,0.2504592836,0.3131531179,-2.97091794,3.623504877,3,3,1,5,,
739,3.5,3.85,3.8,3.1,3.7,2,1,10551.27689,1.302470207,0.1719758511,-0.1141923144,-1.043365121,-0.7395298481,-0.9246456027,-2.97091794,3.623504877,2,1,5,,,
740,2.6,3.45,2.3,3.4,4,2,3,23860.13855,2.416461468,1.821638584,-0.03609384224,-0.3297862411,0.2080699652,0.260153085,-2.97091794,3.623504877,3,3,1,5,,
741,3.6,3.666666667,2.1,4.5,4.6,2,4,39223.31895,0.3535533845,-1.233235002,0.1623426974,1.483310938,0.8041744232,1.005471706,-2.97091794,3.623504877,4,4,3,1,5,
742,3,3.25,3.5,3.6,4.1,2,3,22824.03965,1.603567481,0.6178581119,-0.1109050661,-1.013329744,-0.6055327654,-0.7571069598,-2.97091794,3.623504877,2,1,5,,,
743,2.4,3.816666667,2.4,3.9,3.3,2,4,38900.54754,0.7071067691,-0.709672749,-0.004191578832,-0.03829808533,-0.206141755,-0.2577422261,-2.97091794,3.623504877,3,3,1,5,,
744,3.5,3.533333333,1.2,3.7,3.7,2,5,42621.74736,1.125991583,-0.08936390281,0.08764955401,0.8008462191,0.5782936811,0.7230495214,-2.97091794,3.623504877,3,3,1,5,,
