participantid,extraversionbig5,agreeable,neuroticismbig5,conscientiousnessbig5,opennessbig5,income,education,totalallowance,assignedallowancelevel,stdactions,z_extraversionbig5,z_agreeable,z_neuroticismbig5,z_conscientiousnessbig5,z_opennessbig5,z_net_income,z_stdactions,reducation,weighted_ttp,min_weighted_ttp,max_weighted_ttp,weighted_ttp06,choice_length_deterministic,bs_weighted_loyalty,weighted_loyalty,min_weighted_loyalty,max_weighted_loyalty,weighted_loyalty15,choice1_loyalty_deterministic,choice2_loyalty_deterministic,choice3_loyalty_deterministic,choice4_loyalty_deterministic,choice5_loyalty_deterministic,WTP_calculated,z_WTP_calculated,min_WTP_calculated,max_WTP_calculated,WTP_calculated15,choice1_WTP_deterministic,choice2_WTP_deterministic,choice3_WTP_deterministic,choice4_WTP_deterministic,choice5_WTP_deterministic,WTP_noincome,weighted_WTP_categorical,z_WTP_categorical,RT_calculated_hs,z_RT_calculated_hs,min_RT_calculated,max_RT_calculated,RT_calculated15,choice1_RT_deterministic,choice2_RT_deterministic,choice3_RT_deterministic,choice4_RT_deterministic,choice5_RT_deterministic,RT_noincome_hs,weighted_RT_categorical,z_RT_categorical,Flexibility_calculated_ivw,z_Flexibility_calculated_ivw,anchored_flexibility,z_anchored_flexibility,min_Flexibility_combined,max_Flexibility_combined,Flexibility_combined15,choice1_flex_deterministic,choice2_flex_deterministic,choice3_flex_deterministic,choice4_flex_deterministic,choice5_flex_deterministic,sWTP_calculated,min_sWTP_calculated,max_sWTP_calculated,sWTP_calculated15,choice1_WTP_calculated_stoc,choice2_WTP_calculated_stoc,choice3_WTP_calculated_stoc,choice4_WTP_calculated_stoc,choice5_WTP_calculated_stoc
716,4.7,3.25,1.6,4.9,4.4,22518.84512,2,72,3,1.388730168,1.634068608,-0.7931804657,-1.611400843,2.220767498,0.6694304347,-0.3283781111,0.2997145951,1,-0.02086663991,-0.07178839296,0.1379993707,1.456354856,1,-0.03324753419,-0.9270372391,3.400620699,-3.031393766,2,1,4,5,2,,-0.09056494385,-0.1300664097,-1.397873402,5.470183372,1,3,2,1,4,5,0.1386429816,-0.04742842168,-0.05979990587,0.04382342845,0.6709656119,-2.646594286,3.333152533,3,1,3,5,,,0.04608076438,0.04430556297,0.6784020066,0.2077663541,1.802689672,1.426945925,1.786171198,-2.965258121,3.648804188,4,1,5,,,,0.8263176084,-1.859476447,3.782505274,3,1,4,5,,
717,4.4,4.05,3,3.4,4.3,38900.56638,2,128,4,1.457737923,1.204857349,1.350033402,0.4354855418,-0.4594691396,0.4721246362,0.5965365171,0.4019052684,1,0.03969012946,-0.07178839296,0.1379993707,3.188269854,3,0.03508522734,0.9782774448,3.400620699,-3.031393766,4,5,2,,,,0.4947631359,0.7105626464,-1.397873402,5.470183372,2,2,1,4,5,,0.07838064432,0.3277123272,0.5193787813,0.0005376458284,0.008231718093,-2.646594286,3.333152533,3,1,3,5,,,-0.003563063685,-0.001119963825,-0.01714810915,0.05957752094,0.5169257522,0.4881706238,0.6110647321,-2.965258121,3.648804188,3,3,1,5,,,0.9668173194,-1.859476447,3.782505274,3,1,4,5,,
718,4.7,3.433333333,1.8,4.7,4.9,10066.42213,2,12,1,1.195228577,1.634068608,-0.3020273149,-1.318988562,1.863402605,1.655959487,-1.031443954,0.01316624507,1,-0.009635024704,-0.07178839296,0.1379993707,1.7775774,1,-0.007239473052,-0.2018574029,3.400620699,-3.031393766,3,4,5,2,,,-0.5873579979,-0.843544364,-1.397873402,5.470183372,1,3,2,1,4,5,0.1325899065,-0.6052885056,-0.9210784435,0.04940868169,0.7564795613,-2.646594286,3.333152533,3,1,3,5,,,0.05649903044,0.0496683307,0.7605160475,0.2279468775,1.977786422,1.486631393,1.860882163,-2.965258121,3.648804188,4,1,5,,,,-0.452714473,-1.859476447,3.782505274,2,2,1,4,5,
719,3.9,4.1,2.6,3.8,4.7,12279.63589,2,12,1,1.035098314,0.4895052314,1.483984232,-0.1493391693,0.2552606463,1.26134789,-0.906485498,-0.2239639014,1,0.04796910286,-0.07178839296,0.1379993707,3.425047159,3,0.05491388589,1.531157732,3.400620699,-3.031393766,4,5,2,,,,-0.6124119163,-0.8795260191,-1.397873402,5.470183372,1,3,2,1,4,5,0.02031494305,-0.7037683725,-1.07312119,-0.02696245164,-0.4128129184,-2.646594286,3.333152533,2,2,1,3,5,,-0.0207310915,-0.02756179124,-0.4220221341,0.140416652,1.218328357,0.8577553034,1.073690176,-2.965258121,3.648804188,4,1,5,,,,-1.392076373,-1.859476447,3.782505274,1,3,2,1,4,5
720,2.5,3.95,2.7,3.4,4.3,13078.37771,2,12,1,0.8345229626,-1.513480663,1.082131624,-0.003132989397,-0.4594691396,0.4721246362,-0.8613883853,-0.5209875107,1,0.06780865043,-0.07178839296,0.1379993707,3.992455482,3,0.05351755768,1.492223978,3.400620699,-3.031393766,4,5,2,,,,-0.733943224,-1.054065347,-1.397873402,5.470183372,1,3,2,1,4,5,-0.1326941401,-0.8598813415,-1.314143538,-0.05849164724,-0.8955457211,-2.646594286,3.333152533,2,2,1,3,5,,-0.05257029459,-0.05940099433,-0.9095401168,0.01398510393,0.1213420853,-0.03924031556,-0.0491188392,-2.965258121,3.648804188,3,3,1,5,,,-1.064173818,-1.859476447,3.782505274,1,3,2,1,4,5
722,2.9,3.133333333,4.7,3,4.9,24596.22532,2,72,3,0.7071067691,-0.941198945,-1.10573256,2.920990467,-1.174198866,1.655959487,-0.2110888809,-0.709672749,1,0.07105373591,-0.07178839296,0.1379993707,4.085264206,4,-0.006782841869,-0.18912521,3.400620699,-3.031393766,3,4,5,2,,,-0.2079385817,-0.2986346185,-1.397873402,5.470183372,1,3,2,1,4,5,-0.0605985485,-0.2466699481,-0.3674083054,0.02636018395,0.4035918117,-2.646594286,3.333152533,3,1,3,5,,,0.02781125158,0.02603605017,0.3986614347,-0.2388355285,-2.072262049,-1.731614709,-2.167538643,-2.965258121,3.648804188,1,2,4,3,1,5,0.1821333021,-1.859476447,3.782505274,2,2,1,4,5,
723,3.7,3.783333333,2.1,3.7,3.7,13878.74931,2,12,1,1.388730168,0.2033643872,0.6356287599,-0.8803700209,0.07657819241,-0.7117102742,-0.8161993027,0.2997145951,1,0.02133264206,-0.07178839296,0.1379993707,2.663248301,2,0.009852467105,0.2747152448,3.400620699,-3.031393766,3,4,5,2,,,-0.5615028143,-0.8064120412,-1.397873402,5.470183372,1,3,2,1,4,5,0.008204313926,-0.7224316597,-1.101935387,-0.02236114629,-0.342363894,-2.646594286,3.333152533,2,2,1,3,5,,-0.01675043255,-0.02358113229,-0.3610707521,0.06563290954,0.5694654584,0.50202775,0.6284103394,-2.965258121,3.648804188,3,3,1,5,,,-0.6699639559,-1.859476447,3.782505274,2,2,1,4,5,
724,3.3,3.766666667,4.5,4.3,4.4,24298.28035,2,72,3,0.7071067691,-0.3689172864,0.5909784436,2.628578186,1.148672819,0.6694304347,-0.2279109061,-0.709672749,1,0.1076748669,-0.07178839296,0.1379993707,5.132623672,5,0.02924337611,0.8153897524,3.400620699,-3.031393766,3,4,5,2,,,-0.1954590976,-0.2807119787,-1.397873402,5.470183372,1,3,2,1,4,5,-0.03637729213,-0.2224486917,-0.3300131857,-0.1282499135,-1.96359086,-2.646594286,3.333152533,1,4,2,1,3,5,-0.1266832054,-0.1284584105,-1.966938734,-0.04499038309,-0.390360117,-0.4701882601,-0.5885553956,-2.965258121,3.648804188,2,4,3,1,5,,0.03831975907,-1.859476447,3.782505274,2,2,1,4,5,
725,3.6,3.45,2.6,4,4.4,68103.3677,2,200,5,1.060660124,0.06029396132,-0.2573770285,-0.1493391693,0.6126255393,0.6694304347,2.245331287,-0.1861104965,1,0.02680521645,-0.07178839296,0.1379993707,2.819763184,2,-0.001210208051,-0.03374408931,3.400620699,-3.031393766,3,4,5,2,,,1.575168133,2.262205124,-1.397873402,5.470183372,3,1,4,5,,,0.00792693533,1.138554931,1.7712363,0.02350470051,0.3598724902,-2.646594286,3.333152533,3,1,3,5,,,0.008069849573,0.01922035031,0.294300288,0.04571231827,0.3966239989,0.2509403825,0.3141131699,-2.965258121,3.648804188,3,3,1,5,,,0.7552663088,-1.859476447,3.782505274,3,1,4,5,,
726,3.2,3.116666667,1.9,3,2.5,21080.36798,2,72,3,0,-0.5119876862,-1.150382757,-1.172782421,-1.174198866,-3.079380035,-0.4095947444,-1.756797314,1,-0.01648433506,-0.07178839296,0.1379993707,1.581688166,1,-0.06431487203,-1.793284297,3.400620699,-3.031393766,1,3,1,4,5,2,-0.3120964766,-0.4482227862,-1.397873402,5.470183372,1,3,2,1,4,5,-0.02619935386,-0.2122707516,-0.314299494,0.02957160957,0.4527608752,-2.646594286,3.333152533,3,1,3,5,,,0.03238724545,0.03061204404,0.4687285125,-0.1508797556,-1.309111714,-1.421033144,-1.77876997,-2.965258121,3.648804188,1,2,4,3,1,5,-0.7716622949,-1.859476447,3.782505274,1,3,2,1,4,5
