participant_id,agreeable,allowance_level,extraversion,group_experiment,honesty_humility,neuroticism,openness,religious_affiliation,religious_service,study_program,twt_sospeso,z_agreeable,z_openness,z_hh,z_extraversion,z_neuroticism,rs_01,religious_composite,z_religious,weighted_prosocial,z_weighted_prosocial,z_obs_pb,anchored_pb,income_high,level_intercept,direct_effect,z_direct_effect,z_anchored_pb,prosocial_effect,di_i,disclose
831,2.8499999,1,2.5,NoSub,1.875,2.4000001,3.9000001,0,0,BIEM,0,-1.8647877,-.31709847,-2.7157421,-1.5134807,-.44175136,0,0,-.72298509,-.17878379,-2.0768592,-.33912086,-1.6424246,0,.0089093996,-.089225523,-2.5816846,-2.0603793,0,-.54084229,N
924,3.2333333,1,3.7,NoSub,2.8125,2.4000001,4.0999999,0,2,BESS-CLES,2,-.83783072,.077512793,-1.0376316,.20336446,-.44175136,.5,.25,.23190089,-.033595249,-.39026248,-.13709141,-.32696971,0,.0089093996,-.028052807,-.8116892,-.41017509,0,.3441554,Y
900,3.1833334,1,3.9000001,NoSub,3.375,2.7,4.5,0,0,CLEAM,0,-.97178149,.86673623,-.030765358,.48950535,-.0031329209,0,0,-.72298509,-.05863836,-.68117821,-.33912086,-.59566391,0,.0089093996,.011249748,.32550633,-.74724501,0,.91275316,Y
1007,3.6500001,1,3.5,NoSub,3.6875,3,3.5999999,0,0,IM,1,.27842668,-.90901625,.52860481,-.08277645,.43548551,0,0,-.72298509,-.041750651,-.48500049,-.23810615,-.4232769,0,.0089093996,.031535812,.91247123,-.53099,0,1.2062356,Y
919,3.2333333,1,4.3000002,MidSub,3.375,3.5,4,0,0,MM,5,-.83783072,-.11979283,-.030765358,1.0617871,1.1665164,0,0,-.72298509,-.071767777,-.83369738,.16595277,-.58378482,0,.0089093996,.035432823,1.0252289,-.73234302,0,1.2626145,Y
898,3.8666666,1,4.1999998,HighSub,2.75,2.2,4.5999999,0,0,BESS-CLES,0,.85887986,1.0640419,-1.1495057,.91871619,-.73416376,0,0,-.72298509,-.044906478,-.52166045,-.33912086,-.47602555,0,.0089093996,-.03161047,-.91462803,-.59716183,0,.29268599,Y
947,3.3499999,1,3.4000001,NoSub,3.3125,2.4000001,4.1999998,0,2,BIEF,0,-.52527905,.27481842,-.14263938,-.22584672,-.44175136,.5,.25,.23190089,.0035442314,.041171901,-.33912086,-.053901292,0,.0089093996,-.0045042885,-.13032715,-.067617781,0,.68483645,Y
934,3.2166667,1,2.8,NoSub,3.4375,2.9000001,4.1999998,0,1,CLEACC,2,-.88248098,.27481842,.081108674,-1.0842694,.28927949,.25,.125,-.24554211,-.030667637,-.35625359,-.13709141,-.30146304,0,.0089093996,.009013623,.2608054,-.37817761,0,.88040268,Y
719,4.0999999,1,3.9000001,MidSub,3.625,2.5999999,4.6999998,0,0,PPA,0,1.4839839,1.2613475,.41673076,.48950535,-.1493393,0,0,-.72298509,.019498307,.22650397,-.33912086,.08509776,0,.0089093996,.02193238,.63460177,.10675295,0,1.0673009,Y
786,2.8333333,1,3.8,NoSub,2.6875,1.8,3.5,0,0,M,0,-1.9094379,-1.1063219,-1.2613797,.34643474,-1.3189886,0,0,-.72298509,-.14992298,-1.7415949,-.33912086,-1.3909764,0,.0089093996,-.048938949,-1.4160171,-1.7449441,0,.041991472,Y
1050,3.8333333,1,3.8,NoSub,3.25,3.2,4.5999999,0,0,PPA,0,.76957935,1.0640419,-.25451341,.34643474,.72789794,0,0,-.72298509,-.020584276,-.23911925,-.33912086,-.26411965,0,.0089093996,.016373109,.47374764,-.33133131,0,.98687381,Y
720,3.95,1,2.5,NoSub,3.9375,2.7,4.3000002,0,0,DES-ESS,0,1.0821317,.47212499,.97610092,-1.5134807,-.0031329209,0,0,-.72298509,.013420879,.15590493,-.33912086,.032148484,0,.0089093996,.027482001,.79517668,.040329449,0,1.1475884,Y
1027,3.9666667,1,3.5999999,MidSub,3.1875,2.5999999,4.4000001,0,0,BIEM,0,1.1267819,.66943061,-.36638746,.060293835,-.1493393,0,0,-.72298509,-.02192279,-.25466821,-.33912086,-.27578136,0,.0089093996,-.0041042482,-.11875223,-.34596062,0,.69062388,Y
723,3.7833333,1,3.7,MidSub,4.125,2.0999999,3.7,0,4,DES-ESS,10,.63562864,-.71171016,1.311723,.20336446,-.88037014,1,.5,1.1867869,.12246631,1.4226418,.67102641,1.2347379,0,.0089093996,.033746183,.97642696,1.5489469,0,1.2382135,Y
1047,3.8,1,4.9000001,MidSub,3.5625,2,4.5,0,0,BIEF,0,.68027884,.86673623,.30485675,1.9202095,-1.0265762,0,0,-.72298509,-.0094419466,-.1096833,-.33912086,-.16704269,0,.0089093996,.013042602,.37738144,-.20955075,0,.93869072,Y
