Participant ID,original_index,assignedallowancelevel,stdactions
716,0,3,1.388730168
717,1,4,1.457737923
718,2,1,1.195228577
719,3,1,1.035098314
720,4,1,0.8345229626
722,5,3,0.7071067691
723,6,1,1.388730168
724,7,3,0.7071067691
725,8,5,1.060660124
726,9,3,0
727,10,3,1.281739831
729,11,1,1.72688818
730,12,3,0
732,13,1,1.772810578
733,14,1,0.5175491571
734,15,1,0.5
736,16,1,1.908627033
738,17,1,1.246423483
739,18,1,1.302470207
740,19,3,2.416461468
741,20,4,0.3535533845
742,21,3,1.603567481
743,22,4,0.7071067691
744,23,5,1.125991583
745,24,4,0.5345224738
746,25,4,2.121320248
747,26,1,0.7440237999
748,27,3,0.7559289336
750,28,4,0.3535533845
751,29,5,0
753,30,2,0.9161253572
754,31,1,2.2320714
755,32,5,1.388730168
759,33,5,2.251983166
760,34,2,1.581138849
762,35,2,0.8864052892
763,36,5,1.407885909
764,37,3,0.7559289336
765,38,1,0.3535533845
766,39,4,0.4629100561
767,40,4,1.035098314
768,41,3,1.407885909
769,42,3,1.414213538
770,43,4,1.164964795
771,44,5,0.7071067691
772,45,3,1.922609806
773,46,2,1.603567481
775,47,2,1.195228577
776,48,4,1.457737923
777,49,3,2.138089895
778,50,5,1.767766953
779,51,2,0.8345229626
780,52,5,0.8345229626
781,53,2,0.7440237999
784,54,5,5.126959324
786,55,1,0
787,56,4,1.457737923
789,57,4,0.9161253572
791,58,2,1.281739831
792,59,3,1.388730168
793,60,3,2.669269562
795,61,2,1.690308452
797,62,4,1.832250714
799,63,4,0.9258201122
800,64,5,1.125991583
801,65,5,1.505940676
802,66,5,1.457737923
803,67,5,1.597989798
805,68,5,1.069044948
806,69,2,1.060660124
807,70,3,1.164964795
808,71,1,1.505940676
809,72,2,1.772810578
810,73,5,0.7071067691
811,74,2,1
812,75,3,1.959409475
813,76,5,1.164964795
814,77,3,0.6408699155
815,78,1,0.9910312295
816,79,3,1.807721496
817,80,1,1.457737923
818,81,1,0.9258201122
819,82,2,1.407885909
821,83,2,0
824,84,5,0.5175491571
828,85,4,0.7440237999
829,86,2,1.302470207
830,87,4,1.281739831
831,88,1,0.5175491571
832,89,4,0.7071067691
833,90,2,0
834,91,1,1.388730168
835,92,2,0
836,93,3,1.125991583
837,94,3,1.832250714
838,95,4,0.3535533845
839,96,2,1.281739831
840,97,4,0.7071067691
841,98,5,0
842,99,3,0.9161253572
843,100,4,1.552647471
844,101,4,0.7071067691
845,102,4,1.457737923
846,103,3,1.125991583
847,104,4,1.851640224
848,105,1,0.9258201122
849,106,2,0.8864052892
850,107,5,1.982062459
851,108,4,1.187734962
852,109,2,0.7559289336
853,110,1,0
854,111,2,1.511857867
855,112,2,1.92724824
856,113,1,0.7071067691
857,114,2,0.7559289336
858,115,1,0.7071067691
859,116,4,1.060660124
861,117,2,1.685018063
862,118,5,0.3535533845
863,119,5,1.035098314
864,120,2,1.752549171
865,121,3,1.603567481
867,122,2,0.9258201122
868,123,4,1.669045925
870,124,2,0.3535533845
871,125,5,1.807721496
872,126,1,0.7440237999
873,127,4,1.597989798
878,128,5,1.685018063
879,129,5,0.3535533845
880,130,2,1.069044948
881,131,2,1.505940676
882,132,1,1.457737923
884,133,3,1.125991583
885,134,3,2.815771818
886,135,3,1.195228577
887,136,2,1.035098314
888,137,3,1.92724824
889,138,3,2.507132769
890,139,3,2.138089895
892,140,4,0.6408699155
893,141,2,1.246423483
894,142,2,1.552647471
895,143,5,2.416461468
896,144,2,1.505940676
897,145,3,0.8864052892
898,146,1,0
899,147,4,1.069044948
900,148,1,0.5175491571
902,149,2,0.5345224738
903,150,4,0.9258201122
904,151,1,1.851640224
906,152,5,0
908,153,4,1.767766953
909,154,2,0.5345224738
910,155,4,0.8345229626
911,156,4,1.846811891
912,157,2,2.267786741
913,158,1,1.164964795
914,159,5,1.246423483
915,160,1,1.035098314
918,161,1,0.9161253572
919,162,1,0.5175491571
920,163,4,0.7071067691
921,164,3,0.3535533845
922,165,5,1.407885909
924,166,1,0.3535533845
925,167,2,1.388730168
926,168,4,0.8345229626
927,169,4,1.511857867
928,170,4,1.669045925
929,171,4,1.356202722
930,172,1,0.5
932,173,5,0
933,174,3,0.4629100561
934,175,1,0.8345229626
935,176,3,1.685018063
936,177,2,1.414213538
938,178,1,3.664501429
939,179,4,0.9161253572
942,180,1,0.9574270844
944,181,5,2.295181274
946,182,2,0.7559289336
947,183,1,0.9258201122
948,184,4,2.531938791
949,185,3,1.908627033
950,186,4,1.125991583
953,187,2,1.302470207
954,188,2,1.069044948
955,189,2,0.7559289336
956,190,1,0.4629100561
957,191,1,0
958,192,1,1.414213538
959,193,3,0
960,194,3,1.195228577
961,195,1,0.9258201122
962,196,2,2.070196629
963,197,2,0.7440237999
964,198,1,0.8864052892
965,199,3,1.505940676
966,200,4,1.552647471
968,201,3,1.281739831
969,202,5,2.199837685
971,203,5,1.302470207
973,204,5,0.5175491571
975,205,2,0.7071067691
976,206,3,0.9161253572
977,207,5,0
979,208,4,2.507132769
980,209,2,1.982062459
981,210,2,1.069044948
982,211,4,1.669045925
985,212,5,1.388730168
986,213,3,1.552647471
987,214,3,0.3535533845
988,215,3,1.92724824
989,216,5,1.642080545
990,217,3,1.908627033
991,218,4,1.642080545
992,219,3,1.125991583
994,220,5,1.772810578
997,221,2,0.9910312295
998,222,4,1.302470207
1001,223,5,0.4629100561
1002,224,2,0.5
1003,225,5,1.642080545
1004,226,1,1.752549171
1005,227,1,0.9910312295
1006,228,1,0.9258201122
1007,229,1,1.767766953
1008,230,4,0.8345229626
1009,231,5,2.314550161
1010,232,4,1.807721496
1011,233,5,1.752549171
1012,234,5,1.552647471
1014,235,4,0
1016,236,5,2.070196629
1018,237,5,0.9161253572
1019,238,3,1.302470207
1021,239,5,2.070196629
1022,240,5,0.4629100561
1023,241,4,2.416461468
1024,242,2,1.685018063
1025,243,4,1.908627033
1026,244,2,2.203892708
1027,245,1,0.3535533845
1030,246,4,1.035098314
1033,247,1,1.414213538
1034,248,5,0.3535533845
1036,249,4,0.7440237999
1037,250,2,0.8345229626
1038,251,2,0.6408699155
1040,252,1,0.5175491571
1041,253,5,2.563479662
1043,254,4,1.187734962
1045,255,3,0.9258201122
1046,256,2,0.8345229626
1047,257,1,0.9910312295
1048,258,1,1.457737923
1049,259,1,1.92724824
1050,260,1,1.187734962
1051,261,2,2.390457153
1052,262,2,1.407885909
1053,263,5,0.5175491571
1054,264,4,1.246423483
1055,265,3,1.908627033
1056,266,1,0
1057,267,4,1.388730168
1058,268,3,0.4629100561
1059,269,5,1.125991583
1060,270,3,0.7440237999
1061,271,2,0.4629100561
1062,272,2,0.9910312295
1063,273,5,0.9574270844
1064,274,3,1.302470207
1065,275,2,0.6408699155
1067,276,5,0.7559289336
1068,277,5,0
1069,278,2,1.669045925
1073,279,2,0.4629100561
