participant_id,agreeable,allowance_level,extraversion,group_experiment,honesty_humility,neuroticism,openness,religious_affiliation,religious_service,study_program,twt_sospeso,z_agreeable,z_honesty_humility,z_neuroticism,z_extraversion,z_openness,z_twt_sospeso,religiousservice_01,religious_composite_raw,z_religious_composite,weighted_prosocial,z_weighted_prosocial,anchored_prosocial_behavior,weighted_disclosure_noincome,weighted_disclosure_categorical,z_weighted_categorical,z_anchored_prosocial_behavior,income_high_cat,beta0,fs_deterministic_categorical,disclose_categorical
938,3.4333334,1,3.9000001,HighSub,3.0625,2,4.8000002,0,2,CLEAM,15,-.30202717,-.59013551,-1.0265762,.48950535,1.458654,1.1761,.5,.25,.23190089,.015206653,.17664956,.42651218,-.031968515,-.023059117,-.66719979,.53504854,0,.1,-.2335999,0
808,3.3166666,1,4.0999999,HighSub,3.5625,2.3,3.5,0,2,DES-ESS,5,-.6145795,.30485675,-.58795774,.77564591,-1.1063219,.16595277,.5,.25,.23190089,-.0081961891,-.095211834,-.029920682,.0040283585,.012937759,.3743479,-.037534725,0,.1,.28717396,1
732,3.5,1,3.0999999,HighSub,3.375,2.8,2.9000001,0,0,FIN,0,-.12342618,-.030765358,.14307311,-.65505826,-2.2901566,-.33912086,0,0,-.72298509,-.090673402,-1.0533164,-.87476748,-.0028446342,.0060647661,.17548202,-1.0973732,0,.1,.18774101,1
754,4.4666667,1,1.6,HighSub,4.5625,4,4.9000001,0,0,ACME,6,2.4662905,2.0948412,1.8975472,-2.8011143,1.6559597,.26696751,0,0,-.72298509,.098964475,1.1496304,.92896467,.075959586,.084868982,2.4556341,1.1653622,0,.1,1.3278171,1
818,3.3666666,1,4,MidSub,4.125,2.3,4.9000001,0,0,AFC,0,-.48062879,1.311723,-.58795774,.63257563,1.6559597,-.33912086,0,0,-.72298509,.005758788,.066897511,-.034607083,.032813814,.041723214,1.2072375,-.043413691,0,.1,.70361876,1
904,3.0666666,1,4.1999998,HighSub,3.3125,1.7,4.1999998,0,0,CLEF,0,-1.2843338,-.14263938,-1.4651946,.91871619,.27481842,-.33912086,0,0,-.72298509,-.079163827,-.91961432,-.77449095,-.023469128,-.014559727,-.42127514,-.97157896,0,.1,-.11063757,0
1005,3.7,1,4.4000001,MidSub,3.1875,3.4000001,4.6999998,0,0,FIN,0,.41237739,-.36638746,1.0203104,1.2048575,1.2613475,-.33912086,0,0,-.72298509,-.029119942,-.33827466,-.33848619,.01503196,.02394136,.69273043,-.42462221,0,.1,.44636521,1
947,3.3499999,1,3.4000001,NoSub,3.3125,2.4000001,4.1999998,0,2,BIEF,0,-.52527905,-.14263938,-.44175136,-.22584672,.27481842,-.33912086,.5,.25,.23190089,.0035442314,.041171901,-.053901292,-.013413688,-.0045042881,-.13032714,-.067617781,0,.1,.034836434,1
898,3.8666666,1,4.1999998,HighSub,2.75,2.2,4.5999999,0,0,BESS-CLES,0,.85887986,-1.1495057,-.73416376,.91871619,1.0640419,-.33912086,0,0,-.72298509,-.044906478,-.52166045,-.47602555,-.040519871,-.03161047,-.91462803,-.59716183,0,.1,-.35731402,0
736,3.5999999,1,2.4000001,HighSub,4.1875,2.0999999,3.5,0,0,PPA,0,.1444753,1.4235971,-.88037014,-1.6565509,-1.1063219,-.33912086,0,0,-.72298509,-.021752911,-.25269482,-.27430132,.01558926,.02449866,.70885551,-.34410393,0,.1,.45442775,1
1006,3.6666667,1,3,HighSub,3.5,4.4000001,4.0999999,0,2,BIG,0,.3230769,.1929827,2.482372,-.79812855,.077512793,-.33912086,.5,.25,.23190089,.030368928,.35278359,.17980748,.043442197,.052351598,1.5147634,.22556387,0,.1,.8573817,1
