participant_id,agreeable,allowance_level,extraversion,group_experiment,honesty_humility,neuroticism,openness,religious_affiliation,religious_service,study_program,twt_sospeso
716,3.25,3.0,4.7,MidSub,2.4375,1.6,4.4,0,1,M,0.0
717,4.05,4.0,4.4,MidSub,4.0,3.0,4.3,1,2,ACME,25.0
718,3.433333333333333,1.0,4.7,HighSub,4.125,1.8,4.9,0,0,PPA,0.0
719,4.1,1.0,3.9,MidSub,3.625,2.6,4.7,0,0,PPA,0.0
720,3.95,1.0,2.5,NoSub,3.9375,2.7,4.3,0,0,DES-ESS,0.0
722,3.13333333333333,3.0,2.9,HighSub,3.9375,4.7,4.9,0,0,DES-ESS,0.0
723,3.78333333333333,1.0,3.7,MidSub,4.125,2.1,3.7,0,4,DES-ESS,10.0
724,3.76666666666667,3.0,3.3,MidSub,4.375,4.5,4.4,0,0,DES-ESS,0.0
725,3.45,5.0,3.6,MidSub,3.8125,2.6,4.4,0,1,AFC,0.0
726,3.11666666666667,3.0,3.2,NoSub,2.0625,1.9,2.5,0,2,CYBER,0.0
727,3.71666666666667,3.0,4.1,HighSub,2.75,3.8,4.3,0,0,CLELI,0.0
729,3.33333333333333,1.0,3.8,NoSub,3.5625,2.5,3.6,0,2,AFC,2.0
730,3.78333333333333,3.0,2.8,NoSub,3.8125,2.9,4.3,0,1,GIO,0.0
732,3.5,1.0,3.1,HighSub,3.375,2.8,2.9,0,0,FIN,0.0
733,3.23333333333333,1.0,3.2,NoSub,3.125,4.4,4.1,0,0,MM,0.0
734,4.3,1.0,3.9,HighSub,4.8125,2.0,4.8,0,0,DES-ESS,0.0
736,3.6,1.0,2.4,HighSub,4.1875,2.1,3.5,0,0,PPA,0.0
738,3.88333333333333,1.0,3.4,MidSub,3.8125,3.6,4.2,0,0,PPA,6.0
739,3.85,1.0,3.5,MidSub,3.875,3.8,3.7,0,0,MM,13.0
740,3.45,3.0,2.6,HighSub,3.25,2.3,4.0,0,2,FIN,8.0
741,3.66666666666667,4.0,3.6,NoSub,3.75,2.1,4.6,0,1,ACME,0.0
742,3.25,3.0,3.0,NoSub,3.0625,3.5,4.1,0,0,CLELI,0.0
743,3.81666666666667,4.0,2.4,HighSub,3.9375,2.4,3.3,0,0,FIN,0.0
744,3.53333333333333,5.0,3.5,NoSub,3.25,1.2,3.7,0,0,GIO,25.0
745,3.78333333333333,4.0,1.7,MidSub,4.0625,3.1,4.4,0,1,CLEF,0.0
746,3.18333333333333,4.0,3.9,MidSub,3.5625,2.4,3.8,0,1,ACME,1.0
747,3.9,1.0,3.7,NoSub,3.75,3.0,4.4,0,0,CYBER,0.0
748,2.93333333333333,3.0,3.2,NoSub,2.875,3.7,4.6,0,0,GIO,2.0
750,3.61666666666667,4.0,3.4,NoSub,4.125,3.4,3.4,0,1,MM,0.0
751,3.61666666666667,5.0,3.6,HighSub,2.5625,3.3,3.7,1,1,MM,0.0
753,3.68333333333333,2.0,3.0,MidSub,3.9375,2.4,3.3,0,0,DSBA,0.0
754,4.46666666666667,1.0,1.6,HighSub,4.5625,4.0,4.9,0,0,ACME,6.0
755,3.18333333333333,5.0,3.1,NoSub,3.0,2.3,4.4,0,1,IM,4.0
759,4.23333333333333,5.0,4.4,NoSub,4.625,1.0,4.6,1,2,MM,2.0
760,4.05,2.0,3.9,MidSub,3.5625,2.9,4.0,0,0,M,0.0
762,3.81666666666667,2.0,5.0,MidSub,3.1875,2.6,4.0,0,0,M,4.0
763,3.31666666666667,5.0,3.7,NoSub,3.3125,2.3,3.7,0,2,IM,2.0
764,3.43333333333333,3.0,3.8,HighSub,3.25,2.8,3.5,0,2,MM,0.0
765,3.95,1.0,4.5,HighSub,3.3125,2.2,4.5,0,3,CLEF,0.0
766,3.43333333333333,4.0,4.3,HighSub,3.0,1.5,4.5,0,0,MM,0.0
