Variable,Coefficient,Std_Error,t_value,p_value,CI_lower,CI_upper
const,-0.8712835405407022,4.342543180546414,-0.20063900445339272,0.8409808570432408,-9.382511775721692,7.639944694640288
Factor1_F1_score,-0.40382429981891643,0.6356034207651601,-0.6353400353522006,0.5252066678505802,-1.6495841129690882,0.8419355133312553
Factor2_F1_score,-0.7460434931352509,0.5969778014128356,-1.2497005606734948,0.21140895244415014,-1.9160984834743133,0.4240114972038116
Factor3_F1_score,-0.5729250354343145,0.5500284530081012,-1.0416279963354478,0.29758418358994587,-1.6509609938024745,0.5051109229338455
Factor4_F1_score,-1.3521103217161579,0.9699993385828041,-1.393929117200872,0.16333901057201594,-3.2532740903661272,0.5490534469338118
TotalAllowance_std,1.6782466575413737,0.8173210228734848,2.053350654851752,0.04003858137996949,0.07632688890190575,3.2801664261808416
Age_std,0.31477469935578195,0.8811217286751667,0.3572431471291368,0.7209097873922823,-1.4121921548432184,2.041741553554782
Foreign_binary,1.1404511372099178,1.5034079926935355,0.7585772742678206,0.448105471449719,-1.8061743825390688,4.087076656958905
Group_MidSub,0.7413260847814631,1.8121881279369527,0.40907788399729234,0.6824825058139501,-2.810497379186028,4.293149548748954
Group_NoSub,-0.7379555283511212,1.172642834243622,-0.6293097154574925,0.5291463120866617,-3.036293250197593,1.5603821934953503
Education_2,4.182234219765157,4.387624867317082,0.953188649038377,0.3404944965321014,-4.417352497848657,12.78182093737897
StudyProgram_Incoming,-2.838558662162425,9.030966510356,-0.3143139395885689,0.7532826120673457,-20.538927768047557,14.861810443722709
StudyProgram_Law 5-year Program,0.7864639950881096,3.2823360457386115,0.2396049594340468,0.8106365196885981,-5.646796439717184,7.219724429893404
StudyProgram_UG 3-year Program,2.911617050363833,4.3808822572765385,0.6646188779732001,0.5062942916698192,-5.674754394408718,11.497988495136383
TopPlatform_1,0.9007310886117187,0.9202916122870797,0.9787452983226156,0.32770584398787017,-0.9030073267452566,2.704469503968694
